Day_of_Week,Time,number of accidents
1,00,1729
1,01,1558
1,02,1238
1,03,1055
1,04,726
1,05,614
1,06,674
1,07,893
1,08,1194
1,09,1843
1,10,2600
1,11,3192
1,12,3685
1,13,3745
1,14,3583
1,15,3510
1,16,3628
1,17,3354
1,18,3039
1,19,2510
1,20,2033
1,21,1598
1,22,1324
1,23,978
2,00,670
2,01,422
2,02,294
2,03,251
2,04,240
2,05,580
2,06,1387
2,07,3491
2,08,5893
2,09,3771
2,10,3033
2,11,3385
2,12,3792
2,13,3830
2,14,3950
2,15,5286
2,16,5728
2,17,6495
2,18,4803
2,19,3142
2,20,2314
2,21,1756
2,22,1346
2,23,865
3,00,549
3,01,362
3,02,254
3,03,219
3,04,232
3,05,560
3,06,1512
3,07,3892
3,08,6737
3,09,4161
3,10,3048
3,11,3416
3,12,3735
3,13,3749
3,14,3858
3,15,5509
3,16,5998
3,17,7097
3,18,5329
3,19,3501
3,20,2421
3,21,1749
3,22,1468
3,23,957
4,00,589
4,01,305
4,02,278
4,03,225
4,04,246
4,05,477
4,06,1457
4,07,3768
4,08,6487
4,09,3849
4,10,3021
4,11,3336
4,12,3739
4,13,3623
4,14,3888
4,15,5603
4,16,5965
4,17,7231
4,18,5285
4,19,3656
4,20,2475
4,21,1845
4,22,1491
4,23,993
5,00,674
5,01,370
5,02,307
5,03,247
5,04,234
5,05,563
5,06,1477
5,07,3839
5,08,6574
5,09,3818
5,10,3033
5,11,3361
5,12,3760
5,13,3823
5,14,3901
5,15,5673
5,16,5955
5,17,6916
5,18,5257
5,19,3603
5,20,2540
5,21,1952
5,22,1631
5,23,1134
6,00,788
6,01,484
6,02,366
6,03,308
6,04,301
6,05,585
6,06,1365
6,07,3312
6,08,5612
6,09,3641
6,10,3241
6,11,3716
6,12,4318
6,13,4552
6,14,4701
6,15,6524
6,16,6542
6,17,6935
6,18,5608
6,19,4020
6,20,2947
6,21,2265
6,22,2091
6,23,1830
7,00,1489
7,01,1213
7,02,1041
7,03,830
7,04,655
7,05,616
7,06,794
7,07,1204
7,08,1808
7,09,2513
7,10,3445
7,11,4300
7,12,4664
7,13,4529
7,14,4311
7,15,4013
7,16,4079
7,17,4258
7,18,3711
7,19,3168
7,20,2435
7,21,1922
7,22,1971
7,23,1849
